observation_date,WPS051
2013-01-01,207.900
2013-02-01,209.000
2013-03-01,206.000
2013-04-01,209.000
2013-05-01,212.200
2013-06-01,206.600
2013-07-01,208.900
2013-08-01,209.400
2013-09-01,207.800
2013-10-01,206.300
2013-11-01,208.500
2013-12-01,205.800
2014-01-01,206.500
2014-02-01,199.800
2014-03-01,202.200
2014-04-01,200.900
2014-05-01,200.800
2014-06-01,200.800
2014-07-01,198.300
2014-08-01,198.900
2014-09-01,197.900
2014-10-01,197.900
2014-11-01,197.400
2014-12-01,197.800
2015-01-01,196.600
2015-02-01,195.300
2015-03-01,197.100
2015-04-01,194.800
2015-05-01,195.800
2015-06-01,195.000
2015-07-01,193.100
2015-08-01,192.800
2015-09-01,194.700
2015-10-01,191.500
2015-11-01,191.400
2015-12-01,189.900
2016-01-01,184.800
2016-02-01,183.700
2016-03-01,187.700
2016-04-01,187.000
2016-05-01,193.600
2016-06-01,194.700
2016-07-01,190.100
2016-08-01,188.800
2016-09-01,188.400
2016-10-01,190.200
2016-11-01,192.800
2016-12-01,193.200
2017-01-01,199.900
2017-02-01,196.800
2017-03-01,194.400
2017-04-01,197.000
2017-05-01,193.800
2017-06-01,193.700
2017-07-01,194.300
2017-08-01,195.300
2017-09-01,196.200
2017-10-01,195.900
2017-11-01,196.700
2017-12-01,195.800
2018-01-01,196.400
2018-02-01,199.000
2018-03-01,198.600
2018-04-01,198.000
2018-05-01,200.800
2018-06-01,199.100
2018-07-01,200.100
2018-08-01,199.100
2018-09-01,199.900
2018-10-01,202.000
2018-11-01,200.900
2018-12-01,201.200
2019-01-01,200.800
2019-02-01,199.700
2019-03-01,200.200
2019-04-01,199.300
2019-05-01,197.400
2019-06-01,200.900
2019-07-01,201.000
2019-08-01,201.200
2019-09-01,200.400
2019-10-01,203.900
2019-11-01,196.300
2019-12-01,196.800
2020-01-01,189.600
2020-02-01,189.800
2020-03-01,189.000
2020-04-01,189.900
2020-05-01,189.600
2020-06-01,189.900
2020-07-01,188.000
2020-08-01,187.200
2020-09-01,189.500
2020-10-01,189.700
2020-11-01,187.200
2020-12-01,187.900
2021-01-01,186.400
2021-02-01,186.700
2021-03-01,187.200
2021-04-01,189.500
2021-05-01,189.400
2021-06-01,189.900
2021-07-01,189.945
2021-08-01,189.434
2021-09-01,192.796
2021-10-01,189.239
2021-11-01,190.877
2021-12-01,191.816
2022-01-01,220.985
2022-02-01,227.528
